Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,20p,C_0402_1005Metric,34.798,33.2258,90.0,top
C10,1u,C_0805_2012Metric,11.0,39.25,-90.0,top
C11,1u,C_0805_2012Metric,3.4,43.45,90.0,top
C12,4.7u,C_1206_3216Metric,62.0504,56.7182,180.0,top
C13,4.7u,C_1206_3216Metric,59.8424,53.1622,0.0,top
C2,4.7u,C_1206_3216Metric,4.318,33.4518,90.0,top
C3,20p,C_0402_1005Metric,30.988,33.3528,90.0,top
C4,100n,C_0402_1005Metric,28.575,27.7088,90.0,top
C5,4.7u,C_1206_3216Metric,10.795,33.4028,-90.0,top
C6,100n,C_0402_1005Metric,27.686,15.1358,-90.0,top
C7,100n,C_0402_1005Metric,46.355,29.8678,90.0,top
C8,100n,C_0402_1005Metric,37.62,15.2908,0.0,top
C9,100n,C_0402_1005Metric,63.5254,63.147,-90.0,top
D1,LED,LED_D5.0mm,12.319,61.5748,0.0,top
D2,3.3V PWR,LED_D5.0mm,4.953,61.5748,0.0,top
D3,1N5819WS,D_SOD-323,42.418,11.0998,180.0,top
D4,1N5819WS,D_SOD-323,11.9466,67.4676,0.0,top
D5,1N5819WS,D_SOD-323,17.6022,60.7706,-90.0,top
D6,1N5819WS,D_SOD-323,63.212,70.1854,180.0,top
D7,1N5819WS,D_SOD-323,3.3,39.45,-90.0,top
J1,SWD,PinHeader_1x04_P2.54mm_Vertical,13.462,3.0988,90.0,top
J2,SERIAL,PinHeader_1x04_P2.54mm_Vertical,50.165,2.9718,90.0,top
J3,Micro_SD_Card_Det_Hirose_DM3AT,microSD_HC_Hirose_DM3AT-SF-PEJM5,8.865,19.7428,-90.0,top
J5,Conn_02x13_Odd_Even,IDC-Header_2x13_P2.54mm_Latch_Horizontal,33.02,72.2428,90.0,top
L1,10uH,L_0805_2012Metric,7.1925,42.291,180.0,top
OLED1,SSD1306,PinHeader_1x04_P2.54mm_Vertical,32.924,37.3098,90.0,top
Q1,BSS138,SOT-23,46.9656,64.6333,270.0,top
Q10,BSS138,SOT-23,25.273,54.104,270.0,top
