Designator,Footprint,Quantity,Value,LCSC Part #
BRD1,PinHeader_1x04_P2.54mm_Vertical,1,SSD1306,
"C1, C3",0402,2,20p,C1554
"C10, C4, C6, C7, C8, C9",0402,6,100n,C1525
"C2, C5",1206,2,4.7u,C29823
D1,LED_D5.0mm,1,LED,
D2,LED_D5.0mm,1,3.3V PWR,
"D3, D4",D_SOD-323,2,1N5819WS,C191023
J1,PinHeader_1x04_P2.54mm_Vertical,1,SWD,
J2,PinHeader_1x04_P2.54mm_Vertical,1,SERIAL,
J3,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card_Det_Hirose_DM3AT,
J4,IDC-Header_2x10_P2.54mm_Latch_Horizontal,1,HP Microcircuit,
"R1, R2",0402,2,2k,C4109
"R10, R26",0402,2,100k,C25741
"R11, R13, R15, R17, R24, R27, R33, R35, R37",0402,9,330,C25104
"R12, R14, R16, R18, R25, R28, R34, R36, R38",0402,9,820,C3015788
"R19, R20, R21, R22, R23, R29, R30, R31, R32",0402,9,220,C25091
"R3, R4",0402,2,510,C25123
R39,0603,1,1.8k,C4177
R40,0402,1,3.3k,C25890
R5,0402,1,1.5k,C25867
"R6, R7",0402,2,22,C25092
"R8, R9",0402,2,5.1k,C25905
SW1,SW_PUSH_6mm_H13mm,1,Select,
SW2,SW_PUSH_6mm_H13mm,1,Up,
SW3,SW_PUSH_6mm_H13mm,1,Down,
U1,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TLV75533PDRV,C2861750
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
U3,SOT-23-6,1,USBLC6-2SC6,C21713975
U4,SOT-353_SC-70-5,1,74AHC1GU04,C460485
U5,TSSOP-20_4.4x6.5mm_P0.65mm,1,74HCT245,C6779
U6,SOT-23-5,1,74LVC1G04,C7827
U7,TSSOP-20_4.4x6.5mm_P0.65mm,1,74LVC245,C7848
USB1,HRO-TYPE-C-31-M-12,1,HRO-TYPE-C-31-M-12,C165948
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz,C115962
