Designator,Mid X,Mid Y,Rotation,Layer
BRD1,82.2,-66.5,90.0,top
C1,84.074,-70.584,90.0,top
C10,68.326,-74.45,90.0,top
C2,53.594,-70.358,90.0,top
C3,80.264,-70.457,90.0,top
C4,77.851,-76.101,90.0,top
C5,60.071,-70.407,270.0,top
C6,76.962,-88.674,270.0,top
C7,95.631,-73.942,90.0,top
C8,86.896,-88.519,0.0,top
C9,95.476,-57.912,180.0,top
D1,61.595,-58.674,0.0,top
D2,54.229,-58.674,0.0,top
D3,91.694,-92.71,180.0,top
D4,105.156,-53.306,90.0,top
J1,62.738,-100.711,90.0,top
J2,99.441,-100.838,90.0,top
J3,59.331,-84.067,270.0,top
J4,81.026,-48.006,90.0,top
R1,79.373,-77.851,0.0,top
R10,68.58,-71.12,90.0,top
R11,69.596,-55.88,90.0,top
R12,69.596,-52.9062,90.0,top
R13,72.136,-55.878,90.0,top
R14,72.136,-52.834,90.0,top
R15,74.676,-55.878,90.0,top
R16,74.676,-52.83,90.0,top
R17,77.216,-55.878,90.0,top
R18,77.216,-52.83,90.0,top
R19,89.916,-58.926,270.0,top
R2,86.487,-79.375,90.0,top
R20,69.596,-58.926,270.0,top
R21,74.676,-58.926,270.0,top
R22,79.756,-58.926,270.0,top
R23,84.836,-58.93,270.0,top
R24,79.756,-55.878,90.0,top
R25,79.756,-52.83,90.0,top
R26,93.851,-79.502,180.0,top
R27,82.296,-55.882,90.0,top
R28,82.296,-52.83,90.0,top
R29,72.136,-58.926,270.0,top
R3,61.722,-64.387,90.0,top
R30,77.216,-58.926,270.0,top
R31,82.296,-58.926,270.0,top
R32,87.376,-58.926,270.0,top
R33,84.836,-55.878,90.0,top
R34,84.836,-52.834,90.0,top
R35,87.376,-55.882,90.0,top
R36,87.376,-52.834,90.0,top
R37,89.916,-55.882,90.0,top
R38,89.916,-52.834,90.0,top
R39,75.756,-95.54,0.0,top
R4,56.134,-64.264,90.0,top
R40,75.69,-98.044,0.0,top
R5,84.963,-90.676,90.0,top
R6,82.305,-90.654,270.0,top
R7,83.693,-90.654,270.0,top
R8,79.123,-94.742,180.0,top
R9,86.866,-94.234,0.0,top
SW1,105.97,-77.561,0.0,top
SW2,105.97,-60.289,0.0,top
SW3,105.97,-68.925,0.0,top
U1,56.769,-70.3595,270.0,top
U2,81.915,-84.074,270.0,top
U3,82.6805,-93.577,180.0,top
U4,99.6965,-54.214,0.0,top
U5,73.066,-74.0995,90.0,top
U6,95.3825,-54.29,0.0,top
U7,91.055,-74.3535,270.0,top
USB1,82.675,-105.089,0.0,top
Y1,82.169,-74.168,0.0,top
